Entry number,Entry ID,Source,Street field,Authoritative locality field(s),Lookup street,Lookup locality,Lookup key,Duplicate lookup reused,Review category,Status,Hydrants pill,Query attempted,Matched official address,Method used,Score,Latitude,Longitude,Manual override,Notes / unresolved reason,Fallback address when grey
2,BLACKWOOD MAIN-2,BLACKWOOD MAIN,ACHERON AVENUE,HAWTHORNDENE,ACHERON AVENUE,HAWTHORNDENE,ACHERON AVENUE|HAWTHORNDENE,No,Accepted,Accepted,Active,"1 ACHERON AVENUE, HAWTHORNDENE SA","1 ACHERON AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051",No. 1,100,-35.0218091394682,138.63523118672106,No,,
3,CORO STREETS-1,CORO STREETS,ACKLAND HILL ROAD,COROMANDEL VALLEY,ACKLAND HILL ROAD,COROMANDEL VALLEY,ACKLAND HILL ROAD|COROMANDEL VALLEY,No,Accepted,Accepted,Active,"2 ACKLAND HILL ROAD, COROMANDEL VALLEY SA","2 ACKLAND HILL ROAD, COROMANDEL VALLEY, SOUTH AUSTRALIA, 5051",No. 2,100,-35.0385029245131,138.63010146559213,No,,
5,BLACKWOOD MAIN-3,BLACKWOOD MAIN,ACORN AVENUE,BLACKWOOD,ACORN AVENUE,BLACKWOOD,ACORN AVENUE|BLACKWOOD,No,Accepted,Accepted,Active,"1 ACORN AVENUE, BLACKWOOD SA","1 ACORN AVENUE, BLACKWOOD, SOUTH AUSTRALIA, 5051",No. 1,100,-35.00687269794146,138.619679968476,No,,
7,BLACKWOOD MAIN-5,BLACKWOOD MAIN,ADAM AVENUE,BELLEVUE HEIGHTS,ADAM AVENUE,BELLEVUE HEIGHTS,ADAM AVENUE|BELLEVUE HEIGHTS,No,Accepted,Accepted,Active,"1 ADAM AVENUE, BELLEVUE HEIGHTS SA","1 ADAM AVENUE, BELLEVUE HEIGHTS, SOUTH AUSTRALIA, 5050",No. 1,100,-35.02902084749213,138.5912943968054,No,,
8,BLACKWOOD MAIN-6,BLACKWOOD MAIN,ADAMSON AVENUE,BELAIR,ADAMSON AVENUE,BELAIR,ADAMSON AVENUE|BELAIR,No,Accepted,Accepted,Active,"1 ADAMSON AVENUE, BELAIR SA","1 ADAMSON AVENUE, BELAIR, SOUTH AUSTRALIA, 5052",No. 1,100,-34.997909338776445,138.6141023284303,No,,
9,BLACKWOOD MAIN-7,BLACKWOOD MAIN,ADARE WALK,BELLEVUE HEIGHTS,ADARE WALK,BELLEVUE HEIGHTS,ADARE WALK|BELLEVUE HEIGHTS,No,Accepted,Accepted,Active,"1 ADARE WALK, BELLEVUE HEIGHTS SA","1 ADARE WALK, BELLEVUE HEIGHTS, SOUTH AUSTRALIA, 5050",No. 1,100,-35.02565843154116,138.57997688396895,No,,
10,BLACKWOOD MAIN-8,BLACKWOOD MAIN,ADEY ROAD,BLACKWOOD,ADEY ROAD,BLACKWOOD,ADEY ROAD|BLACKWOOD,No,Accepted,Accepted,Active,"1 ADEY ROAD, BLACKWOOD SA","1 ADEY ROAD, BLACKWOOD, SOUTH AUSTRALIA, 5051",No. 1,100,-35.02544923668568,138.61751224015205,No,,
11,BLACKWOOD MAIN-9,BLACKWOOD MAIN,AERIAL ROAD,BELAIR,AERIAL ROAD,BELAIR,AERIAL ROAD|BELAIR,No,Accepted,Accepted,Active,"1 AERIAL ROAD, BELAIR SA","1 AERIAL ROAD, BELAIR, SOUTH AUSTRALIA, 5052",No. 1,100,-34.99931037507048,138.61560280343542,No,,
12,BLACKWOOD MAIN-10,BLACKWOOD MAIN,AGONIS COURT,BLACKWOOD,AGONIS COURT,BLACKWOOD,AGONIS COURT|BLACKWOOD,No,Accepted,Accepted,Active,"1 AGONIS COURT, BLACKWOOD SA","1 AGONIS COURT, BLACKWOOD, SOUTH AUSTRALIA, 5051",No. 1,100,-35.02991828630668,138.61174977574,No,,
13,BLACKWOOD MAIN-11,BLACKWOOD MAIN,ALBERT PLACE,BLACKWOOD,ALBERT PLACE,BLACKWOOD,ALBERT PLACE|BLACKWOOD,No,Accepted,Accepted,Active,"1 ALBERT PLACE, BLACKWOOD SA","1 ALBERT PLACE, BLACKWOOD, SOUTH AUSTRALIA, 5051",No. 1,100,-35.015699440058,138.6199242070275,No,,
14,BLACKWOOD PARK-1,BLACKWOOD PARK,ALEXANDRA PLACE,CRAIGBURN FARM,ALEXANDRA PLACE,CRAIGBURN FARM,ALEXANDRA PLACE|CRAIGBURN FARM,No,Accepted,Accepted,Active,"1 ALEXANDRA PLACE, CRAIGBURN FARM SA","1 ALEXANDRA PLACE, CRAIGBURN FARM, SOUTH AUSTRALIA, 5051",No. 1,100,-35.03331165455769,138.61956060644536,No,,
