Entry number,Entry ID,Source,Street field,Authoritative locality field(s),Lookup street,Lookup locality,Lookup key,Duplicate lookup reused,Original collector category,Original collector status,Review category,Status,Hydrants pill,Reviewed resolution,Resolution confidence,Approximate vicinity anchor,Anchor key,Query attempted,Matched official address,Method used,Score,Latitude,Longitude,Manual override,Notes / unresolved reason,Secondary evidence,Fallback address when grey
1,BLACKWOOD MAIN-1,BLACKWOOD MAIN,ACACIA ROAD,HAWTHORNDENE,ACACIA ROAD,HAWTHORNDENE,ACACIA ROAD|HAWTHORNDENE,No,Ambiguous,Ambiguous,Official candidate salvage,Reviewed resolution,Active,Yes,High,No,,"ACACIA ROAD, HAWTHORNDENE SA","6 ACACIA ROAD, HAWTHORNDENE, SOUTH AUSTRALIA, 5051",Reviewed street-only,100,-35.01778267216052,138.62171926254342,No,Lowest valid numbered address returned by the official SAGAF_PLUS street-only search; exact street and locality were already validated by the collector.,,
2,BLACKWOOD MAIN-2,BLACKWOOD MAIN,ACHERON AVENUE,HAWTHORNDENE,ACHERON AVENUE,HAWTHORNDENE,ACHERON AVENUE|HAWTHORNDENE,No,Accepted,Accepted,Accepted,Accepted,Active,No,,No,,"1 ACHERON AVENUE, HAWTHORNDENE SA","1 ACHERON AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051",No. 1,100,-35.0218091394682,138.63523118672106,No,,,
3,CORO STREETS-1,CORO STREETS,ACKLAND HILL ROAD,COROMANDEL VALLEY,ACKLAND HILL ROAD,COROMANDEL VALLEY,ACKLAND HILL ROAD|COROMANDEL VALLEY,No,Accepted,Accepted,Accepted,Accepted,Active,No,,No,,"2 ACKLAND HILL ROAD, COROMANDEL VALLEY SA","2 ACKLAND HILL ROAD, COROMANDEL VALLEY, SOUTH AUSTRALIA, 5051",No. 2,100,-35.0385029245131,138.63010146559213,No,,,
4,CORO EAST & CHERRY-1,CORO EAST & CHERRY,ACKLAND HILL ROAD,COROMANDEL VALLEY · CHERRY GARDENS · IRON BANK · CORO EAST,,,,No,Ambiguous,Ambiguous authoritative locality fields,Reviewed multi-locality vicinity anchor,Reviewed resolution,Active,Yes,Moderate,Yes,ACKLAND HILL ROAD|COROMANDEL VALLEY,"2 ACKLAND HILL ROAD, COROMANDEL VALLEY SA","2 ACKLAND HILL ROAD, COROMANDEL VALLEY, SOUTH AUSTRALIA, 5051",Reviewed Directions route vicinity anchor,100,-35.0385029245131,138.63010146559213,No,The Directions entry spans multiple locality fields. A reviewed official approach point (ACKLAND HILL ROAD|COROMANDEL VALLEY) was selected without merging it with other same-name street records.,,
5,BLACKWOOD MAIN-3,BLACKWOOD MAIN,ACORN AVENUE,BLACKWOOD,ACORN AVENUE,BLACKWOOD,ACORN AVENUE|BLACKWOOD,No,Accepted,Accepted,Accepted,Accepted,Active,No,,No,,"1 ACORN AVENUE, BLACKWOOD SA","1 ACORN AVENUE, BLACKWOOD, SOUTH AUSTRALIA, 5051",No. 1,100,-35.00687269794146,138.619679968476,No,,,
6,BLACKWOOD MAIN-4,BLACKWOOD MAIN,ACORN ROAD,HAWTHORNDENE,ACORN ROAD,HAWTHORNDENE,ACORN ROAD|HAWTHORNDENE,No,Ambiguous,Ambiguous,Official candidate salvage,Reviewed resolution,Active,Yes,High,No,,"ACORN ROAD, HAWTHORNDENE SA","3 ACORN ROAD, HAWTHORNDENE, SOUTH AUSTRALIA, 5051",Reviewed street-only,100,-35.020175427263496,138.62149779349997,No,Lowest valid numbered address returned by the official SAGAF_PLUS street-only search; exact street and locality were already validated by the collector.,,
7,BLACKWOOD MAIN-5,BLACKWOOD MAIN,ADAM AVENUE,BELLEVUE HEIGHTS,ADAM AVENUE,BELLEVUE HEIGHTS,ADAM AVENUE|BELLEVUE HEIGHTS,No,Accepted,Accepted,Accepted,Accepted,Active,No,,No,,"1 ADAM AVENUE, BELLEVUE HEIGHTS SA","1 ADAM AVENUE, BELLEVUE HEIGHTS, SOUTH AUSTRALIA, 5050",No. 1,100,-35.02902084749213,138.5912943968054,No,,,
8,BLACKWOOD MAIN-6,BLACKWOOD MAIN,ADAMSON AVENUE,BELAIR,ADAMSON AVENUE,BELAIR,ADAMSON AVENUE|BELAIR,No,Accepted,Accepted,Accepted,Accepted,Active,No,,No,,"1 ADAMSON AVENUE, BELAIR SA","1 ADAMSON AVENUE, BELAIR, SOUTH AUSTRALIA, 5052",No. 1,100,-34.997909338776445,138.6141023284303,No,,,
9,BLACKWOOD MAIN-7,BLACKWOOD MAIN,ADARE WALK,BELLEVUE HEIGHTS,ADARE WALK,BELLEVUE HEIGHTS,ADARE WALK|BELLEVUE HEIGHTS,No,Accepted,Accepted,Accepted,Accepted,Active,No,,No,,"1 ADARE WALK, BELLEVUE HEIGHTS SA","1 ADARE WALK, BELLEVUE HEIGHTS, SOUTH AUSTRALIA, 5050",No. 1,100,-35.02565843154116,138.57997688396895,No,,,
10,BLACKWOOD MAIN-8,BLACKWOOD MAIN,ADEY ROAD,BLACKWOOD,ADEY ROAD,BLACKWOOD,ADEY ROAD|BLACKWOOD,No,Accepted,Accepted,Accepted,Accepted,Active,No,,No,,"1 ADEY ROAD, BLACKWOOD SA","1 ADEY ROAD, BLACKWOOD, SOUTH AUSTRALIA, 5051",No. 1,100,-35.02544923668568,138.61751224015205,No,,,
