Entry number,Entry ID,Source,Street field,Authoritative locality field(s),Lookup street,Lookup locality,Lookup key,Duplicate lookup reused,Original collector category,Original collector status,Review category,Status,Hydrants pill,Reviewed resolution,Resolution confidence,Approximate vicinity anchor,Anchor key,Query attempted,Matched official address,Method used,Score,Latitude,Longitude,Manual override,Notes / unresolved reason,Secondary evidence,Fallback address when grey
1,BLACKWOOD MAIN-1,BLACKWOOD MAIN,ACACIA ROAD,HAWTHORNDENE,ACACIA ROAD,HAWTHORNDENE,ACACIA ROAD|HAWTHORNDENE,No,Ambiguous,Ambiguous,Official candidate salvage,Reviewed resolution,Active,Yes,High,No,,"ACACIA ROAD, HAWTHORNDENE SA","6 ACACIA ROAD, HAWTHORNDENE, SOUTH AUSTRALIA, 5051",Reviewed street-only,100,-35.01778267216052,138.62171926254342,No,Lowest valid numbered address returned by the official SAGAF_PLUS street-only search; exact street and locality were already validated by the collector.,,
6,BLACKWOOD MAIN-4,BLACKWOOD MAIN,ACORN ROAD,HAWTHORNDENE,ACORN ROAD,HAWTHORNDENE,ACORN ROAD|HAWTHORNDENE,No,Ambiguous,Ambiguous,Official candidate salvage,Reviewed resolution,Active,Yes,High,No,,"ACORN ROAD, HAWTHORNDENE SA","3 ACORN ROAD, HAWTHORNDENE, SOUTH AUSTRALIA, 5051",Reviewed street-only,100,-35.020175427263496,138.62149779349997,No,Lowest valid numbered address returned by the official SAGAF_PLUS street-only search; exact street and locality were already validated by the collector.,,
15,BLACKWOOD MAIN-12,BLACKWOOD MAIN,ALISON AVENUE,BLACKWOOD,ALISON AVENUE,BLACKWOOD,ALISON AVENUE|BLACKWOOD,No,Ambiguous,Ambiguous,Official candidate salvage,Reviewed resolution,Active,Yes,High,No,,"ALISON AVENUE, BLACKWOOD SA","31 ALISON AVENUE, BLACKWOOD, SOUTH AUSTRALIA, 5051",Reviewed street-only,100,-35.03219452556752,138.61113980196495,No,Lowest valid numbered address returned by the official SAGAF_PLUS street-only search; exact street and locality were already validated by the collector.,,
24,CORO STREETS-4,CORO STREETS,ANNETTE WAY,COROMANDEL VALLEY,ANNETTE WAY,COROMANDEL VALLEY,ANNETTE WAY|COROMANDEL VALLEY,No,Ambiguous,Ambiguous,Official candidate salvage,Reviewed resolution,Active,Yes,High,No,,"ANNETTE WAY, COROMANDEL VALLEY SA","3 ANNETTE WAY, COROMANDEL VALLEY, SOUTH AUSTRALIA, 5051",Reviewed street-only,100,-35.04923127632786,138.61865089344283,No,Lowest valid numbered address returned by the official SAGAF_PLUS street-only search; exact street and locality were already validated by the collector.,,
35,BLACKWOOD MAIN-24,BLACKWOOD MAIN,ASH AVENUE,BELAIR,ASH AVENUE,BELAIR,ASH AVENUE|BELAIR,No,Ambiguous,Ambiguous,Official candidate salvage,Reviewed resolution,Active,Yes,High,No,,"ASH AVENUE, BELAIR SA","17 ASH AVENUE, BELAIR, SOUTH AUSTRALIA, 5052",Reviewed street-only,100,-35.005827257324405,138.61444404893828,No,Lowest valid numbered address returned by the official SAGAF_PLUS street-only search; exact street and locality were already validated by the collector.,,
43,BLACKWOOD MAIN-30,BLACKWOOD MAIN,AYLIFFES ROAD,PASADENA,AYLIFFES ROAD,PASADENA,AYLIFFES ROAD|PASADENA,No,Failed,Failed,Secondary-assisted official correction,Reviewed resolution,Active,Yes,High,No,,"1 AYLIFFES ROAD, PASADENA SA","1 AYLIFFES ROAD, ST MARYS, SOUTH AUSTRALIA, 5042",Reviewed No. 1,55,-35.010780870539215,138.57759391263897,No,"Reviewed spelling, street type or adjoining official locality; selected the lowest numbered matching official SAGAF_PLUS candidate for AYLIFFES ROAD, ST MARYS.",,
44,BLACKWOOD MAIN-31,BLACKWOOD MAIN,BABBAGE STREET,BELAIR,BABBAGE STREET,BELAIR,BABBAGE STREET|BELAIR,No,Ambiguous,Ambiguous,Official candidate salvage,Reviewed resolution,Active,Yes,High,No,,"BABBAGE STREET, BELAIR SA","3A BABBAGE STREET, BELAIR, SOUTH AUSTRALIA, 5052",Reviewed street-only,100,-35.00655517003581,138.61289856857735,No,Lowest valid numbered address returned by the official SAGAF_PLUS street-only search; exact street and locality were already validated by the collector.,,
45,BLACKWOOD MAIN-32,BLACKWOOD MAIN,BAECKEA PLACE,EDEN HILLS,BAECKEA PLACE,EDEN HILLS,BAECKEA PLACE|EDEN HILLS,No,Ambiguous,Ambiguous,Official candidate salvage,Reviewed resolution,Active,Yes,High,No,,"BAECKEA PLACE, EDEN HILLS SA","4 BAECKEA PLACE, EDEN HILLS, SOUTH AUSTRALIA, 5050",Reviewed street-only,100,-35.01693041658858,138.6044519705136,No,Lowest valid numbered address returned by the official SAGAF_PLUS street-only search; exact street and locality were already validated by the collector.,,
49,BLACKWOOD MAIN-35,BLACKWOOD MAIN,BANKSIA CRESCENT,BLACKWOOD,BANKSIA CRESCENT,BLACKWOOD,BANKSIA CRESCENT|BLACKWOOD,No,Failed,Failed,Secondary-assisted official correction,Reviewed resolution,Active,Yes,High,No,,"1 BANKSIA CRESCENT, BLACKWOOD SA","1 BANKSIA CRESCENT, BELAIR, SOUTH AUSTRALIA, 5052",Reviewed No. 1,55,-35.01123074621058,138.60507848775936,No,"Reviewed spelling, street type or adjoining official locality; selected the lowest numbered matching official SAGAF_PLUS candidate for BANKSIA CRESCENT, BELAIR.",,
59,BLACKWOOD MAIN-43,BLACKWOOD MAIN,BEALE AVENUE,GLENALTA,BEALE AVENUE,GLENALTA,BEALE AVENUE|GLENALTA,No,Ambiguous,Ambiguous,Official candidate salvage,Reviewed resolution,Active,Yes,High,No,,"BEALE AVENUE, GLENALTA SA","LOT 1 BEALE AVENUE, GLENALTA, SOUTH AUSTRALIA, 5052",Reviewed street-only,100,-35.01579425371274,138.62603319489065,No,Lowest valid numbered address returned by the official SAGAF_PLUS street-only search; exact street and locality were already validated by the collector.,,
61,BLACKWOOD MAIN-45,BLACKWOOD MAIN,BELLEVUE DRIVE,BELLEVUE HEIGHTS,BELLEVUE DRIVE,BELLEVUE HEIGHTS,BELLEVUE DRIVE|BELLEVUE HEIGHTS,No,Ambiguous,Ambiguous,Official candidate salvage,Reviewed resolution,Active,Yes,High,No,,"BELLEVUE DRIVE, BELLEVUE HEIGHTS SA","LOT 1 BELLEVUE DRIVE, BELLEVUE HEIGHTS, SOUTH AUSTRALIA, 5050",Reviewed street-only,100,-35.01805092542758,138.57675197450035,No,Lowest valid numbered address returned by the official SAGAF_PLUS street-only search; exact street and locality were already validated by the collector.,,
