Entry number,Entry ID,Source,Street field,Authoritative locality field(s),Lookup street,Lookup locality,Lookup key,Duplicate lookup reused,Original collector category,Original collector status,Review category,Status,Hydrants pill,Reviewed resolution,Resolution confidence,Approximate vicinity anchor,Anchor key,Query attempted,Matched official address,Method used,Score,Latitude,Longitude,Manual override,Notes / unresolved reason,Secondary evidence,Fallback address when grey
1,BLACKWOOD MAIN-1,BLACKWOOD MAIN,ACACIA ROAD,HAWTHORNDENE,ACACIA ROAD,HAWTHORNDENE,ACACIA ROAD|HAWTHORNDENE,No,Ambiguous,Ambiguous,Official candidate salvage,Reviewed resolution,Active,Yes,High,No,,"ACACIA ROAD, HAWTHORNDENE SA","6 ACACIA ROAD, HAWTHORNDENE, SOUTH AUSTRALIA, 5051",Reviewed street-only,100,-35.01778267216052,138.62171926254342,No,Lowest valid numbered address returned by the official SAGAF_PLUS street-only search; exact street and locality were already validated by the collector.,,
4,CORO EAST & CHERRY-1,CORO EAST & CHERRY,ACKLAND HILL ROAD,COROMANDEL VALLEY · CHERRY GARDENS · IRON BANK · CORO EAST,,,,No,Ambiguous,Ambiguous authoritative locality fields,Reviewed multi-locality vicinity anchor,Reviewed resolution,Active,Yes,Moderate,Yes,ACKLAND HILL ROAD|COROMANDEL VALLEY,"2 ACKLAND HILL ROAD, COROMANDEL VALLEY SA","2 ACKLAND HILL ROAD, COROMANDEL VALLEY, SOUTH AUSTRALIA, 5051",Reviewed Directions route vicinity anchor,100,-35.0385029245131,138.63010146559213,No,The Directions entry spans multiple locality fields. A reviewed official approach point (ACKLAND HILL ROAD|COROMANDEL VALLEY) was selected without merging it with other same-name street records.,,
6,BLACKWOOD MAIN-4,BLACKWOOD MAIN,ACORN ROAD,HAWTHORNDENE,ACORN ROAD,HAWTHORNDENE,ACORN ROAD|HAWTHORNDENE,No,Ambiguous,Ambiguous,Official candidate salvage,Reviewed resolution,Active,Yes,High,No,,"ACORN ROAD, HAWTHORNDENE SA","3 ACORN ROAD, HAWTHORNDENE, SOUTH AUSTRALIA, 5051",Reviewed street-only,100,-35.020175427263496,138.62149779349997,No,Lowest valid numbered address returned by the official SAGAF_PLUS street-only search; exact street and locality were already validated by the collector.,,
15,BLACKWOOD MAIN-12,BLACKWOOD MAIN,ALISON AVENUE,BLACKWOOD,ALISON AVENUE,BLACKWOOD,ALISON AVENUE|BLACKWOOD,No,Ambiguous,Ambiguous,Official candidate salvage,Reviewed resolution,Active,Yes,High,No,,"ALISON AVENUE, BLACKWOOD SA","31 ALISON AVENUE, BLACKWOOD, SOUTH AUSTRALIA, 5051",Reviewed street-only,100,-35.03219452556752,138.61113980196495,No,Lowest valid numbered address returned by the official SAGAF_PLUS street-only search; exact street and locality were already validated by the collector.,,
20,BLACKWOOD MAIN-16,BLACKWOOD MAIN,AMBROSE STREET,BELAIR,AMBROSE STREET,BELAIR,AMBROSE STREET|BELAIR,No,Failed,Failed,Reviewed vicinity anchor,Reviewed resolution,Active,Yes,Moderate,Yes,LINDSAY TERRACE|BELAIR,"1 LINDSAY TERRACE, BELAIR SA","1 LINDSAY TERRACE, BELAIR, SOUTH AUSTRALIA, 5052",Reviewed Directions route vicinity anchor,100,-34.99863618416719,138.6313628607624,No,Ambrose Street is a small lane off the Upper Sturt Road/Lindsay Terrace area; use the reviewed official Lindsay Terrace approach point.,https://www.homely.com.au/ambrose-street-belair-mitcham-adelaide-greater-south-australia | https://www.realestate.com.au/sold/property-house-sa-belair-143686908,
24,CORO STREETS-4,CORO STREETS,ANNETTE WAY,COROMANDEL VALLEY,ANNETTE WAY,COROMANDEL VALLEY,ANNETTE WAY|COROMANDEL VALLEY,No,Ambiguous,Ambiguous,Official candidate salvage,Reviewed resolution,Active,Yes,High,No,,"ANNETTE WAY, COROMANDEL VALLEY SA","3 ANNETTE WAY, COROMANDEL VALLEY, SOUTH AUSTRALIA, 5051",Reviewed street-only,100,-35.04923127632786,138.61865089344283,No,Lowest valid numbered address returned by the official SAGAF_PLUS street-only search; exact street and locality were already validated by the collector.,,
35,BLACKWOOD MAIN-24,BLACKWOOD MAIN,ASH AVENUE,BELAIR,ASH AVENUE,BELAIR,ASH AVENUE|BELAIR,No,Ambiguous,Ambiguous,Official candidate salvage,Reviewed resolution,Active,Yes,High,No,,"ASH AVENUE, BELAIR SA","17 ASH AVENUE, BELAIR, SOUTH AUSTRALIA, 5052",Reviewed street-only,100,-35.005827257324405,138.61444404893828,No,Lowest valid numbered address returned by the official SAGAF_PLUS street-only search; exact street and locality were already validated by the collector.,,
43,BLACKWOOD MAIN-30,BLACKWOOD MAIN,AYLIFFES ROAD,PASADENA,AYLIFFES ROAD,PASADENA,AYLIFFES ROAD|PASADENA,No,Failed,Failed,Secondary-assisted official correction,Reviewed resolution,Active,Yes,High,No,,"1 AYLIFFES ROAD, PASADENA SA","1 AYLIFFES ROAD, ST MARYS, SOUTH AUSTRALIA, 5042",Reviewed No. 1,55,-35.010780870539215,138.57759391263897,No,"Reviewed spelling, street type or adjoining official locality; selected the lowest numbered matching official SAGAF_PLUS candidate for AYLIFFES ROAD, ST MARYS.",,
44,BLACKWOOD MAIN-31,BLACKWOOD MAIN,BABBAGE STREET,BELAIR,BABBAGE STREET,BELAIR,BABBAGE STREET|BELAIR,No,Ambiguous,Ambiguous,Official candidate salvage,Reviewed resolution,Active,Yes,High,No,,"BABBAGE STREET, BELAIR SA","3A BABBAGE STREET, BELAIR, SOUTH AUSTRALIA, 5052",Reviewed street-only,100,-35.00655517003581,138.61289856857735,No,Lowest valid numbered address returned by the official SAGAF_PLUS street-only search; exact street and locality were already validated by the collector.,,
45,BLACKWOOD MAIN-32,BLACKWOOD MAIN,BAECKEA PLACE,EDEN HILLS,BAECKEA PLACE,EDEN HILLS,BAECKEA PLACE|EDEN HILLS,No,Ambiguous,Ambiguous,Official candidate salvage,Reviewed resolution,Active,Yes,High,No,,"BAECKEA PLACE, EDEN HILLS SA","4 BAECKEA PLACE, EDEN HILLS, SOUTH AUSTRALIA, 5050",Reviewed street-only,100,-35.01693041658858,138.6044519705136,No,Lowest valid numbered address returned by the official SAGAF_PLUS street-only search; exact street and locality were already validated by the collector.,,
