Entry number,Entry ID,Source,Street field,Authoritative locality field(s),Lookup street,Lookup locality,Lookup key,Duplicate lookup reused,Original collector category,Original collector status,Review category,Status,Hydrants pill,Reviewed resolution,Resolution confidence,Approximate vicinity anchor,Anchor key,Query attempted,Matched official address,Method used,Score,Latitude,Longitude,Manual override,Notes / unresolved reason,Secondary evidence,Fallback address when grey
4,CORO EAST & CHERRY-1,CORO EAST & CHERRY,ACKLAND HILL ROAD,COROMANDEL VALLEY · CHERRY GARDENS · IRON BANK · CORO EAST,,,,No,Ambiguous,Ambiguous authoritative locality fields,Reviewed multi-locality vicinity anchor,Reviewed resolution,Active,Yes,Moderate,Yes,ACKLAND HILL ROAD|COROMANDEL VALLEY,"2 ACKLAND HILL ROAD, COROMANDEL VALLEY SA","2 ACKLAND HILL ROAD, COROMANDEL VALLEY, SOUTH AUSTRALIA, 5051",Reviewed Directions route vicinity anchor,100,-35.0385029245131,138.63010146559213,No,The Directions entry spans multiple locality fields. A reviewed official approach point (ACKLAND HILL ROAD|COROMANDEL VALLEY) was selected without merging it with other same-name street records.,,
20,BLACKWOOD MAIN-16,BLACKWOOD MAIN,AMBROSE STREET,BELAIR,AMBROSE STREET,BELAIR,AMBROSE STREET|BELAIR,No,Failed,Failed,Reviewed vicinity anchor,Reviewed resolution,Active,Yes,Moderate,Yes,LINDSAY TERRACE|BELAIR,"1 LINDSAY TERRACE, BELAIR SA","1 LINDSAY TERRACE, BELAIR, SOUTH AUSTRALIA, 5052",Reviewed Directions route vicinity anchor,100,-34.99863618416719,138.6313628607624,No,Ambrose Street is a small lane off the Upper Sturt Road/Lindsay Terrace area; use the reviewed official Lindsay Terrace approach point.,https://www.homely.com.au/ambrose-street-belair-mitcham-adelaide-greater-south-australia | https://www.realestate.com.au/sold/property-house-sa-belair-143686908,
47,BLACKWOOD MAIN-34,BLACKWOOD MAIN,BALY COURT,BELAIR,BALY COURT,BELAIR,BALY COURT|BELAIR,No,Failed,Failed,Reviewed vicinity anchor,Reviewed resolution,Active,Yes,Moderate,Yes,ADAMSON AVENUE|BELAIR,"1 ADAMSON AVENUE, BELAIR SA","1 ADAMSON AVENUE, BELAIR, SOUTH AUSTRALIA, 5052",Reviewed Directions route vicinity anchor,100,-34.997909338776445,138.6141023284303,No,The Directions route places the former/unmatched court as the third right from Adamson Avenue.,,
60,BLACKWOOD MAIN-44,BLACKWOOD MAIN,BELAIR ROAD,BELAIR · LYNTON,,,,No,Ambiguous,Ambiguous authoritative locality fields,Reviewed multi-locality vicinity anchor,Reviewed resolution,Active,Yes,Moderate,Yes,UPPER STURT ROAD|BELAIR,"2 UPPER STURT ROAD, BELAIR SA","2 UPPER STURT ROAD, BELAIR, SOUTH AUSTRALIA, 5052",Reviewed Directions route vicinity anchor,100,-34.998930586791175,138.63197212299033,No,The Directions entry spans multiple locality fields. A reviewed official approach point (UPPER STURT ROAD|BELAIR) was selected without merging it with other same-name street records.,,
71,CORO STREETS-12,CORO STREETS,BLACK ROAD,ABERFOYLE PARK · FLAGSTAFF HILL,,,,No,Ambiguous,Ambiguous authoritative locality fields,Reviewed multi-locality vicinity anchor,Reviewed resolution,Active,Yes,Moderate,Yes,GLENDALE AVENUE|FLAGSTAFF HILL,"2 GLENDALE AVENUE, FLAGSTAFF HILL SA","2 GLENDALE AVENUE, FLAGSTAFF HILL, SOUTH AUSTRALIA, 5159",Reviewed Directions route vicinity anchor,100,-35.05750496843955,138.6146694314909,No,The Directions entry spans multiple locality fields. A reviewed official approach point (GLENDALE AVENUE|FLAGSTAFF HILL) was selected without merging it with other same-name street records.,,
96,BLACKWOOD MAIN-67,BLACKWOOD MAIN,BROWNHILL CREEK ROAD,BROWNHILL CREEK · MITCHAM,,,,No,Ambiguous,Ambiguous authoritative locality fields,Reviewed multi-locality vicinity anchor,Reviewed resolution,Active,Yes,Moderate,Yes,JAMES ROAD|BELAIR,"2 JAMES ROAD, BELAIR SA","2 JAMES ROAD, BELAIR, SOUTH AUSTRALIA, 5052",Reviewed Directions route vicinity anchor,100,-34.99664545319125,138.6307084152919,No,The Directions entry spans multiple locality fields. A reviewed official approach point (JAMES ROAD|BELAIR) was selected without merging it with other same-name street records.,,
112,BLACKWOOD MAIN-79,BLACKWOOD MAIN,CEZANNE COURT,BELAIR · TORRENS PARK,,,,No,Ambiguous,Ambiguous authoritative locality fields,Reviewed multi-locality vicinity anchor,Reviewed resolution,Active,Yes,Moderate,Yes,UPPER STURT ROAD|BELAIR,"2 UPPER STURT ROAD, BELAIR SA","2 UPPER STURT ROAD, BELAIR, SOUTH AUSTRALIA, 5052",Reviewed Directions route vicinity anchor,100,-34.998930586791175,138.63197212299033,No,The Directions entry spans multiple locality fields. A reviewed official approach point (UPPER STURT ROAD|BELAIR) was selected without merging it with other same-name street records.,,
120,BLACKWOOD MAIN-84,BLACKWOOD MAIN,CHERRY PLANTATION ROAD,BELAIR NATIONAL PARK,CHERRY PLANTATION ROAD,BELAIR NATIONAL PARK,CHERRY PLANTATION ROAD|BELAIR NATIONAL PARK,No,Failed,Failed,Reviewed vicinity anchor,Reviewed resolution,Active,Yes,Moderate,Yes,QUEENS JUBILEE DRIVE|BELAIR NATIONAL PARK,"QUEENS JUBILEE DRIVE, BELAIR NATIONAL PARK SA","LOT 599 QUEENS JUBILEE DRIVE, BELAIR, SOUTH AUSTRALIA, 5052",Reviewed Directions route vicinity anchor,55,-35.0076162646897,138.6497405220847,No,Internal park road; use the nearest reviewed official Belair National Park road candidate as a safe live-map starting point.,https://www.walkingsa.org.au/walk/find-a-place-to-walk/rsl-walk-belair-national-park/,
137,BLACKWOOD MAIN-99,BLACKWOOD MAIN,COROMANDEL PARADE,BLACKWOOD · COROMANDEL VALLEY,,,,No,Ambiguous,Ambiguous authoritative locality fields,Reviewed multi-locality vicinity anchor,Reviewed resolution,Active,Yes,Moderate,Yes,BORONIA AVENUE|COROMANDEL VALLEY,"1 BORONIA AVENUE, COROMANDEL VALLEY SA","1 BORONIA AVENUE, COROMANDEL VALLEY, SOUTH AUSTRALIA, 5051",Reviewed Directions route vicinity anchor,100,-35.0384349717624,138.62090952191232,No,The Directions entry spans multiple locality fields. A reviewed official approach point (BORONIA AVENUE|COROMANDEL VALLEY) was selected without merging it with other same-name street records.,,
138,CORO STREETS-20,CORO STREETS,COROMANDEL PARADE,BLACKWOOD · COROMANDEL VALLEY,,,,No,Ambiguous,Ambiguous authoritative locality fields,Reviewed multi-locality vicinity anchor,Reviewed resolution,Active,Yes,Moderate,Yes,BORONIA AVENUE|COROMANDEL VALLEY,"1 BORONIA AVENUE, COROMANDEL VALLEY SA","1 BORONIA AVENUE, COROMANDEL VALLEY, SOUTH AUSTRALIA, 5051",Reviewed Directions route vicinity anchor,100,-35.0384349717624,138.62090952191232,No,The Directions entry spans multiple locality fields. A reviewed official approach point (BORONIA AVENUE|COROMANDEL VALLEY) was selected without merging it with other same-name street records.,,
151,BLACKWOOD MAIN-105,BLACKWOOD MAIN,CREEK ROAD,BELAIR NATIONAL PARK,CREEK ROAD,BELAIR NATIONAL PARK,CREEK ROAD|BELAIR NATIONAL PARK,No,Failed,Failed,Reviewed vicinity anchor,Reviewed resolution,Active,Yes,Moderate,Yes,QUEENS JUBILEE DRIVE|BELAIR NATIONAL PARK,"QUEENS JUBILEE DRIVE, BELAIR NATIONAL PARK SA","LOT 599 QUEENS JUBILEE DRIVE, BELAIR, SOUTH AUSTRALIA, 5052",Reviewed Directions route vicinity anchor,55,-35.0076162646897,138.6497405220847,No,Internal park road reached from The Valley Road; use the reviewed official park-road starting point.,https://friendsofbelairnationalpark.com/wp-content/uploads/2023/06/2020novwalkbrochure.pdf,
181,CORO EAST & CHERRY-8,CORO EAST & CHERRY,DORSET VALE ROAD,CHERRY GARDENS · DORSET VALE,,,,No,Ambiguous,Ambiguous authoritative locality fields,Reviewed multi-locality vicinity anchor,Reviewed resolution,Active,Yes,Moderate,Yes,CHERRY GARDENS ROAD|CHERRY GARDENS,"CHERRY GARDENS ROAD, CHERRY GARDENS SA","11 CHERRY GARDENS ROAD, CHERRY GARDENS, SOUTH AUSTRALIA, 5157",Reviewed Directions route vicinity anchor,100,-35.07102578695614,138.62775175909036,No,The Directions entry spans multiple locality fields. A reviewed official approach point (CHERRY GARDENS ROAD|CHERRY GARDENS) was selected without merging it with other same-name street records.,,
189,BLACKWOOD MAIN-127,BLACKWOOD MAIN,EAGLE ROAD,EAGLE ON THE HILL · LEAWOOD GARDENS,,,,No,Ambiguous,Ambiguous authoritative locality fields,Reviewed multi-locality vicinity anchor,Reviewed resolution,Active,Yes,Moderate,Yes,JAMES ROAD|BELAIR,"2 JAMES ROAD, BELAIR SA","2 JAMES ROAD, BELAIR, SOUTH AUSTRALIA, 5052",Reviewed Directions route vicinity anchor,100,-34.99664545319125,138.6307084152919,No,The Directions entry spans multiple locality fields. A reviewed official approach point (JAMES ROAD|BELAIR) was selected without merging it with other same-name street records.,,
193,BLACKWOOD MAIN-130,BLACKWOOD MAIN,EDEN ROAD,EDEN HILLS,EDEN ROAD,EDEN HILLS,EDEN ROAD|EDEN HILLS,No,Failed,Failed,Reviewed vicinity anchor,Reviewed resolution,Active,Yes,Moderate,Yes,MOUNTAIN ROAD|EDEN HILLS,"1 MOUNTAIN ROAD, EDEN HILLS SA","1 MOUNTAIN ROAD, EDEN HILLS, SOUTH AUSTRALIA, 5050",Reviewed Directions route vicinity anchor,100,-35.02084944028001,138.6056550188194,No,Directions place Eden Road as the second right from Mountain Road.,,
195,BLACKWOOD MAIN-132,BLACKWOOD MAIN,EDGECUMBE PARADE,BLACKWOOD · HAWTHORNDENE,,,,No,Ambiguous,Ambiguous authoritative locality fields,Reviewed multi-locality vicinity anchor,Reviewed resolution,Active,Yes,Moderate,Yes,HEWITT AVENUE|HAWTHORNDENE,"1 HEWITT AVENUE, HAWTHORNDENE SA","1 HEWETT AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051",Reviewed Directions route vicinity anchor,98.46,-35.02237766562309,138.62192596698395,No,The Directions entry spans multiple locality fields. A reviewed official approach point (HEWITT AVENUE|HAWTHORNDENE) was selected without merging it with other same-name street records.,,
