Entry number,Entry ID,Source,Street field,Authoritative locality field(s),Lookup street,Lookup locality,Lookup key,Duplicate lookup reused,Review category,Status,Hydrants pill,Query attempted,Matched official address,Method used,Score,Latitude,Longitude,Manual override,Notes / unresolved reason,Fallback address when grey
1,BLACKWOOD MAIN-1,BLACKWOOD MAIN,ACACIA ROAD,HAWTHORNDENE,ACACIA ROAD,HAWTHORNDENE,ACACIA ROAD|HAWTHORNDENE,No,Ambiguous,Ambiguous,Grey fallback,"1 ACACIA ROAD, HAWTHORNDENE SA | 2 ACACIA ROAD, HAWTHORNDENE SA | ACACIA ROAD, HAWTHORNDENE SA",,,,,,No,street-only: 10 distinct exact candidates,"16A GORSE AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051"
4,CORO EAST & CHERRY-1,CORO EAST & CHERRY,ACKLAND HILL ROAD,COROMANDEL VALLEY · CHERRY GARDENS · IRON BANK · CORO EAST,,,,No,Ambiguous,Ambiguous authoritative locality fields,Grey fallback,,,,,,,No,Multiple authoritative locality values are stored for this Directions entry; no locality was guessed.,"16A GORSE AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051"
6,BLACKWOOD MAIN-4,BLACKWOOD MAIN,ACORN ROAD,HAWTHORNDENE,ACORN ROAD,HAWTHORNDENE,ACORN ROAD|HAWTHORNDENE,No,Ambiguous,Ambiguous,Grey fallback,"1 ACORN ROAD, HAWTHORNDENE SA | 2 ACORN ROAD, HAWTHORNDENE SA | ACORN ROAD, HAWTHORNDENE SA",,,,,,No,street-only: 2 distinct exact candidates,"16A GORSE AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051"
15,BLACKWOOD MAIN-12,BLACKWOOD MAIN,ALISON AVENUE,BLACKWOOD,ALISON AVENUE,BLACKWOOD,ALISON AVENUE|BLACKWOOD,No,Ambiguous,Ambiguous,Grey fallback,"1 ALISON AVENUE, BLACKWOOD SA | 2 ALISON AVENUE, BLACKWOOD SA | ALISON AVENUE, BLACKWOOD SA",,,,,,No,street-only: 10 distinct exact candidates,"16A GORSE AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051"
20,BLACKWOOD MAIN-16,BLACKWOOD MAIN,AMBROSE STREET,BELAIR,AMBROSE STREET,BELAIR,AMBROSE STREET|BELAIR,No,Failed,Failed,Grey fallback,"1 AMBROSE STREET, BELAIR SA | 2 AMBROSE STREET, BELAIR SA | AMBROSE STREET, BELAIR SA",,,,,,No,No exact official candidate returned,"16A GORSE AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051"
24,CORO STREETS-4,CORO STREETS,ANNETTE WAY,COROMANDEL VALLEY,ANNETTE WAY,COROMANDEL VALLEY,ANNETTE WAY|COROMANDEL VALLEY,No,Ambiguous,Ambiguous,Grey fallback,"1 ANNETTE WAY, COROMANDEL VALLEY SA | 2 ANNETTE WAY, COROMANDEL VALLEY SA | ANNETTE WAY, COROMANDEL VALLEY SA",,,,,,No,street-only: 10 distinct exact candidates,"16A GORSE AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051"
35,BLACKWOOD MAIN-24,BLACKWOOD MAIN,ASH AVENUE,BELAIR,ASH AVENUE,BELAIR,ASH AVENUE|BELAIR,No,Ambiguous,Ambiguous,Grey fallback,"1 ASH AVENUE, BELAIR SA | 2 ASH AVENUE, BELAIR SA | ASH AVENUE, BELAIR SA",,,,,,No,street-only: 10 distinct exact candidates,"16A GORSE AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051"
43,BLACKWOOD MAIN-30,BLACKWOOD MAIN,AYLIFFES ROAD,PASADENA,AYLIFFES ROAD,PASADENA,AYLIFFES ROAD|PASADENA,No,Failed,Failed,Grey fallback,"1 AYLIFFES ROAD, PASADENA SA | 2 AYLIFFES ROAD, PASADENA SA | AYLIFFES ROAD, PASADENA SA",,,,,,No,No. 2: returned suburb/locality does not exactly match; No. 2: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match,"16A GORSE AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051"
44,BLACKWOOD MAIN-31,BLACKWOOD MAIN,BABBAGE STREET,BELAIR,BABBAGE STREET,BELAIR,BABBAGE STREET|BELAIR,No,Ambiguous,Ambiguous,Grey fallback,"1 BABBAGE STREET, BELAIR SA | 2 BABBAGE STREET, BELAIR SA | BABBAGE STREET, BELAIR SA",,,,,,No,street-only: 6 distinct exact candidates,"16A GORSE AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051"
45,BLACKWOOD MAIN-32,BLACKWOOD MAIN,BAECKEA PLACE,EDEN HILLS,BAECKEA PLACE,EDEN HILLS,BAECKEA PLACE|EDEN HILLS,No,Ambiguous,Ambiguous,Grey fallback,"1 BAECKEA PLACE, EDEN HILLS SA | 2 BAECKEA PLACE, EDEN HILLS SA | BAECKEA PLACE, EDEN HILLS SA",,,,,,No,street-only: 6 distinct exact candidates,"16A GORSE AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051"
47,BLACKWOOD MAIN-34,BLACKWOOD MAIN,BALY COURT,BELAIR,BALY COURT,BELAIR,BALY COURT|BELAIR,No,Failed,Failed,Grey fallback,"1 BALY COURT, BELAIR SA | 2 BALY COURT, BELAIR SA | BALY COURT, BELAIR SA",,,,,,No,No. 1: returned street does not exactly match; No. 2: returned street does not exactly match,"16A GORSE AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051"
49,BLACKWOOD MAIN-35,BLACKWOOD MAIN,BANKSIA CRESCENT,BLACKWOOD,BANKSIA CRESCENT,BLACKWOOD,BANKSIA CRESCENT|BLACKWOOD,No,Failed,Failed,Grey fallback,"1 BANKSIA CRESCENT, BLACKWOOD SA | 2 BANKSIA CRESCENT, BLACKWOOD SA | BANKSIA CRESCENT, BLACKWOOD SA",,,,,,No,No. 2: returned suburb/locality does not exactly match; No. 2: returned street does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match,"16A GORSE AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051"
59,BLACKWOOD MAIN-43,BLACKWOOD MAIN,BEALE AVENUE,GLENALTA,BEALE AVENUE,GLENALTA,BEALE AVENUE|GLENALTA,No,Ambiguous,Ambiguous,Grey fallback,"1 BEALE AVENUE, GLENALTA SA | 2 BEALE AVENUE, GLENALTA SA | BEALE AVENUE, GLENALTA SA",,,,,,No,street-only: 9 distinct exact candidates,"16A GORSE AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051"
60,BLACKWOOD MAIN-44,BLACKWOOD MAIN,BELAIR ROAD,BELAIR · LYNTON,,,,No,Ambiguous,Ambiguous authoritative locality fields,Grey fallback,,,,,,,No,Multiple authoritative locality values are stored for this Directions entry; no locality was guessed.,"16A GORSE AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051"
61,BLACKWOOD MAIN-45,BLACKWOOD MAIN,BELLEVUE DRIVE,BELLEVUE HEIGHTS,BELLEVUE DRIVE,BELLEVUE HEIGHTS,BELLEVUE DRIVE|BELLEVUE HEIGHTS,No,Ambiguous,Ambiguous,Grey fallback,"1 BELLEVUE DRIVE, BELLEVUE HEIGHTS SA | 2 BELLEVUE DRIVE, BELLEVUE HEIGHTS SA | BELLEVUE DRIVE, BELLEVUE HEIGHTS SA",,,,,,No,street-only: 10 distinct exact candidates,"16A GORSE AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051"
62,CORO EAST & CHERRY-3,CORO EAST & CHERRY,BEN LOMAN ROAD,COROMANDEL EAST,BEN LOMAN ROAD,COROMANDEL EAST,BEN LOMAN ROAD|COROMANDEL EAST,No,Ambiguous,Ambiguous,Grey fallback,"1 BEN LOMAN ROAD, COROMANDEL EAST SA | 2 BEN LOMAN ROAD, COROMANDEL EAST SA | BEN LOMAN ROAD, COROMANDEL EAST SA",,,,,,No,street-only: 7 distinct exact candidates,"16A GORSE AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051"
63,CORO STREETS-11,CORO STREETS,BEN LOMMAN ROAD,COROMANDEL VALLEY EAST,BEN LOMMAN ROAD,COROMANDEL VALLEY EAST,BEN LOMMAN ROAD|COROMANDEL VALLEY EAST,No,Failed,Failed,Grey fallback,"1 BEN LOMMAN ROAD, COROMANDEL VALLEY EAST SA | 2 BEN LOMMAN ROAD, COROMANDEL VALLEY EAST SA | BEN LOMMAN ROAD, COROMANDEL VALLEY EAST SA",,,,,,No,street-only: returned street does not exactly match; street-only: returned street does not exactly match; street-only: returned street does not exactly match; street-only: returned street does not exactly match; street-only: returned street does not exactly match; street-only: returned street does not exactly match; street-only: returned street does not exactly match; street-only: returned street does not exactly match; street-only: returned street does not exactly match; street-only: returned street does not exactly match,"16A GORSE AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051"
66,BLACKWOOD MAIN-48,BLACKWOOD MAIN,BERMUDA WAY,GLENALTA,BERMUDA WAY,GLENALTA,BERMUDA WAY|GLENALTA,No,Ambiguous,Ambiguous,Grey fallback,"1 BERMUDA WAY, GLENALTA SA | 2 BERMUDA WAY, GLENALTA SA | BERMUDA WAY, GLENALTA SA",,,,,,No,street-only: 10 distinct exact candidates,"16A GORSE AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051"
71,CORO STREETS-12,CORO STREETS,BLACK ROAD,ABERFOYLE PARK · FLAGSTAFF HILL,,,,No,Ambiguous,Ambiguous authoritative locality fields,Grey fallback,,,,,,,No,Multiple authoritative locality values are stored for this Directions entry; no locality was guessed.,"16A GORSE AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051"
72,BLACKWOOD MAIN-53,BLACKWOOD MAIN,BLACKTHORNE AVENUE,HAWTHORNDENE,BLACKTHORNE AVENUE,HAWTHORNDENE,BLACKTHORNE AVENUE|HAWTHORNDENE,No,Failed,Failed,Grey fallback,"1 BLACKTHORNE AVENUE, HAWTHORNDENE SA | 2 BLACKTHORNE AVENUE, HAWTHORNDENE SA | BLACKTHORNE AVENUE, HAWTHORNDENE SA",,,,,,No,No. 1: returned street does not exactly match; No. 2: returned street does not exactly match; street-only: returned street does not exactly match; street-only: returned street does not exactly match; street-only: returned street does not exactly match; street-only: returned street does not exactly match; street-only: returned street does not exactly match; street-only: returned street does not exactly match; street-only: returned street does not exactly match; street-only: returned street does not exactly match; street-only: returned street does not exactly match; street-only: returned street does not exactly match,"16A GORSE AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051"
